countyname,state,countyssa,eligibles,totalenrollees,totalpenetration,numberofplans1,numberofplans2
ANCHORAGE ,AK,HCPP HMO PPO COST DEMO PACE PSO DEMC,68680.0,761736.0,1109.1089108910892,34.0,0.0
DENALI ,AK,HCPP,2068.0,0.0,0.0,0.0,0.0
FAIRBANKS NORTH STAR ,AK,HCPP HMO PFFS COST DEMO,27170.0,76453.0,281.3875598086125,13.0,0.0
JUNEAU ,AK,HMO PFFS COST,12660.0,19470.0,153.79146919431278,6.0,0.0
KENAI PENINSULA ,AK,HMO DEMP COST DEMO HCPP,31830.0,0.0,0.0,0.0,0.0
KETCHIKAN GATEWAY ,AK,HMO,2130.0,1537.0,72.15962441314554,1.0,0.0
KODIAK ISLAND ,AK,PPO HMO,4300.0,918.0,21.348837209302328,2.0,0.0
MATANUSKA SUSITNA ,AK,HCPP HMO COST DEMO,36890.0,103207.0,279.7695852534562,17.0,0.0
PRINCE WALES KETCHIK ,AK,COST HMO,4402.0,0.0,0.0,0.0,0.0
SITKA BOROUGH ,AK,COST HMO,4440.0,1922.0,43.28828828828829,2.0,0.0
VALDEZ CORDOVA ,AK,HMO,9044.0,0.0,0.0,0.0,0.0
WRANGELL PETERSBURG ,AK,HMO,2280.0,784.0,34.385964912280706,1.0,0.0
YUKON KOYUKUK ,AK,HMO COST,4580.0,972.0,21.222707423580786,2.0,0.0
AUTAUGA ,AL,HMO PFFS HCPP PPO,10000.0,68830.0,688.3,10.0,4.0
BALDWIN ,AL,PPO HMO HCPP PFFS DEMO PSO,35350.0,1065295.0,3013.5643564356437,35.0,5.0
BARBOUR ,AL,PFFS HCPP HMO,5100.0,23490.0,460.5882352941176,5.0,1.0
BIBB ,AL,HCPP HMO DEMP,9270.0,34560.0,372.81553398058253,9.0,3.0
BLOUNT ,AL,HCPP DEMP HMO PPO,7280.0,50337.0,691.4423076923077,7.0,5.0
BULLOCK ,AL,HMO PFFS,7350.0,13160.0,179.04761904761907,7.0,1.0
BUTLER ,AL,HMO PPO,3180.0,12684.0,398.86792452830184,3.0,1.0
CALHOUN ,AL,HMO HCPP PPO,12840.0,278688.0,2170.467289719626,12.0,1.0
CHAMBERS ,AL,HMO PFFS HCPP,8640.0,59040.0,683.3333333333333,8.0,0.0
CHEROKEE ,AL,HMO HCPP PFFS,6540.0,26862.0,410.73394495412845,6.0,1.0
CHILTON ,AL,DEMP HMO HCPP PPO,9900.0,56583.0,571.5454545454546,9.0,4.0
CHOCTAW ,AL,HCPP HMO PFFS,5550.0,15925.0,286.9369369369369,5.0,0.0
CLARKE ,AL,HCPP HMO,7840.0,38444.0,490.35714285714283,7.0,0.0
CLAY ,AL,HMO,4520.0,12028.0,266.1061946902655,4.0,1.0
CLEBURNE ,AL,HMO,3420.0,8256.0,241.4035087719298,3.0,1.0
COFFEE ,AL,HCPP HMO PFFS COST,9200.0,64744.0,703.7391304347826,8.0,0.0
COLBERT ,AL,HCPP HMO,3480.0,34125.0,980.6034482758621,3.0,0.0
CONECUH ,AL,HMO,4680.0,11460.0,244.8717948717949,4.0,1.0
COOSA ,AL,HMO PPO,4720.0,9568.0,202.71186440677965,4.0,1.0
COVINGTON ,AL,HMO PFFS,9520.0,67400.0,707.9831932773109,8.0,0.0
CRENSHAW ,AL,HMO,4800.0,11984.0,249.66666666666666,4.0,1.0
CULLMAN ,AL,HCPP HMO PFFS,13310.0,163350.0,1227.2727272727273,11.0,2.0
DALE ,AL,HMO HCPP DEMP,8540.0,75418.0,883.1147540983605,7.0,0.0
DALLAS ,AL,HMO HCPP,7380.0,56232.0,761.951219512195,6.0,1.0
DE KALB ,AL,HMO HCPP PPO PFFS,14880.0,140892.0,946.8548387096774,12.0,1.0
ELMORE ,AL,PPO HMO HCPP PFFS DEMO COST,17500.0,156870.0,896.4000000000001,14.0,4.0
ESCAMBIA ,AL,HMO HCPP PFFS,11340.0,62568.0,551.7460317460317,9.0,1.0
ETOWAH ,AL,PPO HMO HCPP DEMP COST,16510.0,271245.0,1642.9133858267714,13.0,3.0
FAYETTE ,AL,HCPP HMO DEMO,3840.0,10605.0,276.171875,3.0,2.0
FRANKLIN ,AL,HCPP HMO,6450.0,32625.0,505.8139534883721,5.0,0.0
GENEVA ,AL,HMO,9100.0,39704.0,436.30769230769226,7.0,0.0
GREENE ,AL,HCPP HMO,5240.0,7624.0,145.49618320610688,4.0,0.0
HALE ,AL,HCPP HMO,7920.0,21078.0,266.1363636363636,6.0,0.0
HENRY ,AL,PFFS HMO DEMC,3990.0,10263.0,257.21804511278197,3.0,1.0
HOUSTON ,AL,HMO PFFS DEMC,22780.0,237524.0,1042.686567164179,17.0,0.0
JACKSON ,AL,HCPP HMO PFFS,10800.0,85360.0,790.3703703703703,8.0,0.0
JEFFERSON ,AL,HCPP DEMP PPO HMO PFFS COST DEMO,50320.0,4331220.0,8607.35294117647,37.0,8.0
LAMAR ,AL,HMO PFFS,4110.0,10749.0,261.5328467153285,3.0,1.0
LAUDERDALE ,AL,HCPP HMO PFFS,17940.0,231556.0,1290.7246376811595,13.0,0.0
