countyname,state,COST ,DEMC ,DEMO ,DEMP ,HCPP ,HMO ,PACE ,PFFS ,PPO ,PSO 
ABBEVILLE ,SC,1,0,0,0,1,0,1,5,0,0
ACADIA ,LA,0,1,0,0,2,4,0,2,0,1
ACCOMACK ,VA,1,0,0,1,2,1,0,0,1,0
ADA ,ID,3,1,3,1,5,25,1,4,5,0
ADAIR ,IA,1,0,0,0,0,0,0,3,0,0
ADAIR ,KY,0,0,0,0,1,2,0,2,0,0
ADAIR ,MO,1,0,1,0,2,3,0,1,0,0
ADAIR ,OK,0,0,0,0,0,1,0,1,0,0
ADAMS ,CO,2,0,1,1,3,26,2,2,3,0
ADAMS ,IA,0,0,0,0,0,1,0,2,0,0
ADAMS ,ID,1,0,0,0,1,3,0,1,0,0
ADAMS ,IL,1,0,0,0,2,2,0,3,1,0
ADAMS ,IN,0,0,0,0,0,3,0,3,1,0
ADAMS ,MS,1,0,0,0,3,2,0,0,0,0
ADAMS ,ND,1,0,0,0,0,1,0,0,0,0
ADAMS ,NE,0,0,0,0,1,2,0,3,0,0
ADAMS ,OH,0,0,0,0,1,5,0,0,2,0
ADAMS ,PA,2,0,0,1,2,7,0,4,3,0
ADAMS ,WA,0,0,0,1,1,3,0,1,0,0
ADAMS ,WI,1,0,0,0,1,5,0,3,0,0
ADDISON ,VT,0,0,0,0,0,5,0,0,0,0
AIKEN ,SC,1,1,0,0,3,18,1,4,1,0
AITKIN ,MN,3,0,3,0,0,5,0,3,0,0
ALACHUA ,FL,1,1,1,0,3,14,0,2,3,0
ALAMANCE ,NC,2,0,1,1,2,10,0,4,0,0
ALAMEDA ,CA,10,1,3,3,4,46,5,2,4,1
ALAMOSA ,CO,2,0,0,0,0,2,0,0,1,0
ALBANY ,NY,1,0,1,1,4,23,2,1,2,0
ALBANY ,WY,1,0,0,0,2,5,0,0,0,0
ALBEMARLE ,VA,0,0,1,0,2,3,1,0,1,0
ALCONA ,MI,0,0,0,0,1,2,0,1,0,0
ALCORN ,MS,0,0,0,1,2,5,0,0,0,0
ALEXANDER ,IL,0,0,0,0,2,1,0,1,0,0
ALEXANDER ,NC,0,1,0,0,2,4,0,3,0,0
ALEXANDRIA CITY ,VA,1,0,0,0,1,11,0,2,2,0
ALFALFA ,OK,0,0,1,0,0,0,0,0,0,0
ALGER ,MI,1,0,0,0,0,1,0,2,0,0
ALLAMAKEE ,IA,2,0,0,0,0,1,0,3,0,0
ALLEGAN ,MI,0,0,0,0,2,10,0,4,0,0
ALLEGANY ,MD,1,0,0,0,1,5,0,0,0,0
ALLEGANY ,NY,1,0,0,1,1,7,0,1,2,0
ALLEGHANY ,NC,0,0,0,0,2,3,0,2,0,0
ALLEGHANY ,VA,0,0,0,0,2,4,0,0,0,0
ALLEGHENY ,PA,4,0,1,4,5,40,2,2,4,0
ALLEN ,IN,3,0,0,1,5,15,1,4,2,0
ALLEN ,KS,0,0,0,0,3,1,0,1,0,0
ALLEN ,KY,0,0,0,0,1,2,0,1,0,0
ALLEN ,LA,0,1,0,0,1,2,0,1,0,1
ALLEN ,OH,0,0,0,1,2,5,0,1,0,0
ALLENDALE ,SC,0,0,0,0,0,1,0,2,0,0
ALPENA ,MI,0,0,0,0,1,4,0,1,0,0
ALPINE ,CA,0,0,0,0,0,2,0,0,0,0
AMADOR ,CA,1,1,2,0,2,8,0,0,0,0
AMELIA ,VA,0,0,0,0,3,0,0,3,0,0
AMHERST ,VA,1,0,0,0,2,3,0,3,0,0
AMITE ,MS,0,0,0,0,1,2,0,0,0,0
ANCHORAGE ,AK,2,1,2,0,4,20,1,0,3,1
ANDERSON ,KS,0,0,0,0,1,1,0,0,0,0
ANDERSON ,KY,0,0,0,0,2,0,0,2,1,0
ANDERSON ,SC,2,0,1,1,2,11,0,5,1,0
ANDERSON ,TN,1,0,0,1,1,6,0,2,0,0
ANDERSON ,TX,1,1,0,0,2,6,0,2,0,0
ANDREW ,MO,0,0,0,0,1,1,0,0,0,0
ANDREWS ,TX,0,1,0,0,1,0,0,1,0,0
ANDROSCOGGIN ,ME,0,0,0,0,1,9,0,1,0,0
ANGELINA ,TX,0,1,0,0,2,6,0,3,0,0
ANNE ARUNDEL ,MD,3,0,3,2,2,26,0,1,3,0
ANOKA ,MN,5,0,7,1,2,10,0,4,0,0
ANSON ,NC,0,0,0,0,0,2,0,1,0,0
ANTELOPE ,NE,0,0,0,0,0,0,0,2,0,0
ANTRIM ,MI,0,1,0,0,0,2,0,2,0,0
APACHE ,AZ,0,1,0,0,2,9,0,1,1,0
APPANOOSE ,IA,1,0,0,0,3,1,0,1,0,0
APPLING ,GA,0,0,0,0,0,2,0,1,0,0
APPOMATTOX ,VA,0,0,0,0,2,0,0,3,0,0
ARANSAS ,TX,0,1,0,0,3,6,0,2,1,0
ARAPAHOE ,CO,3,0,2,1,6,37,1,2,4,1
ARCHER ,TX,0,0,0,0,1,0,0,1,0,0
ARCHULETA ,CO,1,0,1,0,0,7,0,0,1,0
ARENAC ,MI,0,0,0,0,0,2,0,1,0,0
ARKANSAS ,AR,0,0,0,0,1,1,0,0,0,0
ARLINGTON ,VA,1,0,0,1,1,10,0,1,5,0
ARMSTRONG ,PA,0,0,0,2,1,11,0,0,1,0
ARMSTRONG ,TX,0,0,0,0,1,2,0,0,0,0
AROOSTOOK ,ME,0,0,0,1,0,10,0,0,1,0
ASCENSION ,LA,0,1,0,1,2,4,0,1,2,0
ASHE ,NC,1,0,0,0,2,3,0,3,0,0
ASHLAND ,OH,1,0,0,1,1,5,0,1,0,0
ASHLAND ,WI,2,0,0,0,0,2,0,2,0,0
ASHLEY ,AR,0,1,0,0,1,3,0,0,0,0
ASHTABULA ,OH,1,0,0,2,1,10,0,2,0,0
ASOTIN ,WA,2,1,0,0,2,3,0,1,1,0
ASSUMPTION ,LA,0,2,0,0,1,4,0,1,0,0
ATASCOSA ,TX,0,1,0,0,1,2,0,1,1,0
ATCHISON ,KS,0,0,0,0,2,2,0,0,0,0
ATCHISON ,MO,1,0,0,0,0,0,0,0,0,0
ATHENS ,OH,0,0,0,0,1,8,0,0,1,0
ATKINSON ,GA,0,0,0,0,0,1,0,1,0,0
ATLANTIC ,NJ,0,0,0,2,5,26,0,2,2,0
ATOKA ,OK,0,0,0,0,1,3,0,1,0,0
ATTALA ,MS,0,0,0,0,1,4,0,0,0,0
AUDRAIN ,MO,0,0,0,0,3,3,0,1,0,0
AUDUBON ,IA,0,0,0,0,1,2,0,2,0,0
AUGLAIZE ,OH,0,0,0,0,1,2,0,0,0,0
AUGUSTA ,VA,0,1,0,1,2,5,0,2,0,0
AURORA ,SD,0,0,0,0,1,0,0,1,0,0
AUSTIN ,TX,1,0,0,0,2,7,0,2,0,1
AUTAUGA ,AL,0,0,0,0,2,6,0,1,1,0
AVERY ,NC,0,0,0,0,2,5,0,2,0,0
AVOYELLES ,LA,0,1,0,0,2,4,0,2,0,0
BACA ,CO,0,0,0,0,1,0,0,0,1,0
BACON ,GA,0,0,0,0,0,0,0,1,0,0
BAILEY ,TX,0,0,0,0,1,0,0,0,0,0
BAKER ,FL,0,0,0,0,1,5,0,1,2,0
BAKER ,GA,0,0,0,0,0,0,0,1,0,0
BAKER ,OR,0,0,0,1,1,8,0,1,1,0
BALDWIN ,AL,0,0,1,0,6,22,0,3,2,1
BALDWIN ,GA,0,0,0,0,0,2,0,2,1,0
BALLARD ,KY,0,0,0,0,1,2,0,0,0,0
BALTIMORE ,MD,3,1,3,2,4,28,1,1,3,0
BALTIMORE CITY ,MD,1,1,1,2,1,19,1,2,1,0
BAMBERG ,SC,0,0,0,0,3,6,0,1,0,0
BANDERA ,TX,0,0,0,0,0,3,0,0,1,0
BANKS ,GA,0,0,0,0,0,0,0,3,2,0
BANNOCK ,ID,0,0,1,0,2,10,0,2,1,0
BARAGA ,MI,0,0,0,0,0,0,0,1,0,0
BARBER ,KS,0,0,0,0,1,0,0,1,0,0
BARBOUR ,AL,0,0,0,0,1,3,0,1,0,0
BARBOUR ,WV,0,0,0,0,1,1,0,0,0,0
BARNES ,ND,2,0,0,0,0,0,0,1,0,0
BARNSTABLE ,MA,2,0,0,2,3,29,1,1,5,0
BARNWELL ,SC,0,0,0,0,1,2,0,2,0,0
BARREN ,KY,0,0,1,0,1,3,0,1,0,0
BARRON ,WI,3,0,1,0,1,4,0,2,0,0
BARROW ,GA,0,1,0,0,1,7,0,3,2,0
BARRY ,MI,0,0,0,0,1,2,0,4,0,0
BARRY ,MO,1,0,1,0,2,4,0,3,0,0
BARTHOLOMEW ,IN,2,0,0,1,1,2,0,2,0,0
BARTON ,KS,0,0,0,0,2,0,0,1,0,0
BARTON ,MO,0,0,0,0,1,2,0,1,0,0
BARTOW ,GA,0,0,1,0,1,7,0,3,1,0
BASTROP ,TX,1,1,1,0,2,9,0,2,1,1
BATES ,MO,0,0,0,0,2,3,0,0,0,0
BATH ,KY,0,0,0,0,2,1,0,3,0,0
BATH ,VA,0,0,0,0,2,1,0,0,0,0
BAXTER ,AR,1,0,0,0,6,14,0,2,0,1
BAY ,FL,0,1,0,1,3,21,0,2,1,0
BAY ,MI,1,1,1,0,0,10,0,1,0,0
BAYFIELD ,WI,2,0,0,0,0,4,0,2,1,0
BAYLOR ,TX,0,0,0,0,0,1,0,0,0,0
BEADLE ,SD,0,0,0,0,0,3,0,2,0,0
BEAR LAKE ,ID,0,0,1,0,1,0,0,1,0,0
BEAUFORT ,NC,0,0,0,0,1,4,0,2,0,0
BEAUFORT ,SC,2,0,1,0,4,24,0,3,3,0
BEAUREGARD ,LA,0,0,0,0,1,3,0,3,0,0
BEAVER ,OK,0,0,0,0,0,1,0,0,0,0
BEAVER ,PA,2,0,0,2,1,17,1,1,1,0
BEAVER ,UT,0,0,0,0,1,3,0,2,0,0
BEAVERHEAD ,MT,0,0,0,0,1,1,0,1,1,0
BECKER ,MN,3,0,3,0,0,1,0,2,0,0
BECKHAM ,OK,0,0,0,0,1,2,0,0,0,0
BEDFORD ,PA,0,0,0,1,1,6,0,1,1,0
BEDFORD ,TN,1,1,0,1,1,4,0,2,0,0
BEDFORD ,VA,0,0,0,0,4,7,0,4,0,0
BEE ,TX,0,1,0,0,0,4,0,2,0,0
BELKNAP ,NH,0,0,0,0,0,13,0,0,1,0
BELL ,KY,0,0,0,0,1,5,0,3,0,0
BELL ,TX,1,1,1,0,3,13,0,2,0,1
BELMONT ,OH,1,0,0,1,1,4,0,1,0,1
BELTRAMI ,MN,3,0,2,0,0,3,0,2,0,0
BEN HILL ,GA,0,0,0,0,0,2,0,1,0,0
BENEWAH ,ID,2,0,0,0,0,1,0,1,0,0
BENNINGTON ,VT,0,0,0,0,1,6,1,0,1,0
BENSON ,ND,1,0,0,0,0,1,0,0,0,0
BENT ,CO,1,0,1,0,2,4,0,0,0,0
BENTON ,AR,0,0,1,0,4,14,0,4,2,0
BENTON ,IA,1,0,0,0,0,1,0,4,0,0
BENTON ,IN,1,0,0,0,0,0,0,0,0,0
BENTON ,MN,3,0,3,0,0,2,0,3,0,0
BENTON ,MO,0,0,0,0,4,6,0,1,0,0
BENTON ,MS,0,0,0,0,1,1,0,2,0,0
BENTON ,OR,3,0,3,2,1,14,1,3,0,0
BENTON ,TN,0,0,1,0,1,2,0,2,0,0
BENTON ,WA,2,1,1,0,3,14,0,2,2,0
BENZIE ,MI,0,0,0,0,2,4,0,1,0,0
BERGEN ,NJ,3,1,1,3,6,44,0,2,4,1
BERKELEY ,SC,0,0,0,0,3,14,0,3,0,0
BERKELEY ,WV,1,0,0,0,4,4,0,1,3,0
BERKS ,PA,1,0,0,1,2,30,0,4,7,0
